id,title,likes,dislikes,like/dislikes_ratio,difficulty
3,Longest Substring Without Repeating Characters,18367,845,21.736094674556213,Medium
2,Add Two Numbers,14452,3189,4.531828159297586,Medium
15,3Sum,13659,1317,10.37129840546697,Medium
200,Number of Islands,10673,274,38.95255474452555,Medium
146,LRU Cache,10571,415,25.472289156626506,Medium
33,Search in Rotated Sorted Array,10523,771,13.648508430609597,Medium
22,Generate Parentheses,10172,404,25.178217821782177,Medium
56,Merge Intervals,9932,440,22.572727272727274,Medium
287,Find the Duplicate Number,9875,1004,9.835657370517929,Medium
560,Subarray Sum Equals K,9493,314,30.23248407643312,Medium
238,Product of Array Except Self,9298,617,15.06969205834684,Medium
198,House Robber,8912,221,40.32579185520362,Medium
322,Coin Change,8745,223,39.2152466367713,Medium
152,Maximum Product Subarray,8655,270,32.05555555555556,Medium
55,Jump Game,8504,501,16.974051896207584,Medium
139,Word Break,8369,385,21.73766233766234,Medium
34,Find First and Last Position of Element in Sorted Array,7747,245,31.620408163265306,Medium
39,Combination Sum,7728,184,42.0,Medium
17,Letter Combinations of a Phone Number,7693,590,13.038983050847458,Medium
98,Validate Binary Search Tree,7634,775,9.85032258064516,Medium
236,Lowest Common Ancestor of a Binary Tree,7528,230,32.7304347826087,Medium
79,Word Search,7474,284,26.316901408450704,Medium
31,Next Permutation,7459,2460,3.0321138211382115,Medium
207,Course Schedule,7413,302,24.54635761589404,Medium
78,Subsets,7347,125,58.776,Medium
19,Remove Nth Node From End of List,7262,370,19.627027027027026,Medium
75,Sort Colors,7169,348,20.600574712643677,Medium
128,Longest Consecutive Sequence,7154,334,21.419161676646706,Medium
215,Kth Largest Element in an Array,7147,415,17.221686746987952,Medium
48,Rotate Image,6734,407,16.545454545454547,Medium
437,Path Sum III,6471,340,19.03235294117647,Medium
189,Rotate Array,6352,1061,5.986804901036757,Medium
347,Top K Frequent Elements,6317,303,20.848184818481847,Medium
394,Decode String,6150,268,22.94776119402985,Medium
64,Minimum Path Sum,5935,89,66.68539325842697,Medium
240,Search a 2D Matrix II,5874,106,55.41509433962264,Medium
7,Reverse Integer,5832,8697,0.6705760607105898,Medium
279,Perfect Squares,5692,268,21.238805970149254,Medium
621,Task Scheduler,5685,1060,5.363207547169812,Medium
416,Partition Equal Subset Sum,5640,100,56.4,Medium
763,Partition Labels,5633,230,24.491304347826087,Medium
91,Decode Ways,5602,3609,1.5522305347741756,Medium
494,Target Sum,5375,211,25.473933649289098,Medium
142,Linked List Cycle II,5296,357,14.834733893557424,Medium
647,Palindromic Substrings,5247,144,36.4375,Medium
739,Daily Temperatures,5219,140,37.27857142857143,Medium
148,Sort List,5208,193,26.984455958549223,Medium
438,Find All Anagrams in a String,5170,215,24.046511627906977,Medium
210,Course Schedule II,4983,192,25.953125,Medium
442,Find All Duplicates in an Array,4968,223,22.278026905829595,Medium
337,House Robber III,4940,80,61.75,Medium
153,Find Minimum in Rotated Sorted Array,4929,348,14.163793103448276,Medium
230,Kth Smallest Element in a BST,4918,100,49.18,Medium
209,Minimum Size Subarray Sum,4885,160,30.53125,Medium
73,Set Matrix Zeroes,4875,424,11.497641509433961,Medium
74,Search a 2D Matrix,4833,223,21.672645739910315,Medium
18,4Sum,4664,549,8.49544626593807,Medium
131,Palindrome Partitioning,4642,142,32.690140845070424,Medium
380,Insert Delete GetRandom O(1),4587,256,17.91796875,Medium
116,Populating Next Right Pointers in Each Node,4585,201,22.81094527363184,Medium
16,3Sum Closest,4533,210,21.585714285714285,Medium
253,Meeting Rooms II,4517,88,51.32954545454545,Medium
406,Queue Reconstruction by Height,4463,484,9.22107438016529,Medium
103,Binary Tree Zigzag Level Order Traversal,4445,145,30.655172413793103,Medium
162,Find Peak Element,4311,3149,1.3690060336614798,Medium
516,Longest Palindromic Subsequence,4159,231,18.004329004329005,Medium
399,Evaluate Division,4151,339,12.244837758112094,Medium
143,Reorder List,4105,170,24.147058823529413,Medium
402,Remove K Digits,4023,169,23.80473372781065,Medium
518,Coin Change 2,4006,87,46.04597701149425,Medium
973,K Closest Points to Origin,3985,178,22.3876404494382,Medium
134,Gas Station,3970,491,8.085539714867616,Medium
547,Number of Provinces,3965,212,18.702830188679247,Medium
787,Cheapest Flights Within K Stops,3952,161,24.546583850931675,Medium
328,Odd Even Linked List,3932,356,11.044943820224718,Medium
179,Largest Number,3917,359,10.910863509749303,Medium
213,House Robber II,3890,72,54.02777777777778,Medium
47,Permutations II,3845,85,45.23529411764706,Medium
120,Triangle,3831,355,10.791549295774647,Medium
113,Path Sum II,3782,97,38.98969072164948,Medium
57,Insert Interval,3738,288,12.979166666666666,Medium
36,Valid Sudoku,3717,638,5.826018808777429,Medium
767,Reorganize String,3708,162,22.88888888888889,Medium
692,Top K Frequent Words,3685,225,16.377777777777776,Medium
90,Subsets II,3662,127,28.834645669291337,Medium
983,Minimum Cost For Tickets,3657,67,54.582089552238806,Medium
229,Majority Element II,3630,248,14.637096774193548,Medium
222,Count Complete Tree Nodes,3612,283,12.763250883392226,Medium
503,Next Greater Element II,3481,112,31.080357142857142,Medium
542,01 Matrix,3472,165,21.042424242424243,Medium
567,Permutation in String,3455,91,37.967032967032964,Medium
540,Single Element in a Sorted Array,3401,90,37.78888888888889,Medium
525,Contiguous Array,3388,159,21.30817610062893,Medium
316,Remove Duplicate Letters,3388,236,14.35593220338983,Medium
332,Reconstruct Itinerary,3335,1473,2.2640868974881196,Medium
785,Is Graph Bipartite?,3332,245,13.6,Medium
658,Find K Closest Elements,3319,369,8.994579945799458,Medium
665,Non-decreasing Array,3316,657,5.047184170471842,Medium
451,Sort Characters By Frequency,3311,165,20.066666666666666,Medium
1004,Max Consecutive Ones III,3310,47,70.42553191489361,Medium
61,Rotate List,3303,1202,2.7479201331114806,Medium
264,Ugly Number II,3278,186,17.623655913978496,Medium
743,Network Delay Time,3256,261,12.475095785440613,Medium
669,Trim a Binary Search Tree,3225,212,15.212264150943396,Medium
43,Multiply Strings,3223,1263,2.5518606492478226,Medium
97,Interleaving String,3203,171,18.730994152046783,Medium
137,Single Number II,3194,436,7.325688073394495,Medium
334,Increasing Triplet Subsequence,3111,185,16.816216216216215,Medium
718,Maximum Length of Repeated Subarray,3109,72,43.18055555555556,Medium
77,Combinations,3088,107,28.85981308411215,Medium
721,Accounts Merge,3079,572,5.3828671328671325,Medium
227,Basic Calculator II,3030,443,6.839729119638826,Medium
979,Distribute Coins in Binary Tree,3000,92,32.608695652173914,Medium
129,Sum Root to Leaf Numbers,2991,65,46.01538461538462,Medium
684,Redundant Connection,2980,274,10.875912408759124,Medium
986,Interval List Intersections,2970,70,42.42857142857143,Medium
538,Convert BST to Greater Tree,2938,147,19.98639455782313,Medium
1011,Capacity To Ship Packages Within D Days,2928,70,41.82857142857143,Medium
6,ZigZag Conversion,2922,6940,0.42103746397694525,Medium
445,Add Two Numbers II,2882,218,13.220183486238533,Medium
662,Maximum Width of Binary Tree,2880,465,6.193548387096774,Medium
86,Partition List,2844,446,6.376681614349776,Medium
81,Search in Rotated Sorted Array II,2844,621,4.579710144927536,Medium
678,Valid Parenthesis String,2820,71,39.71830985915493,Medium
673,Number of Longest Increasing Subsequence,2798,142,19.704225352112676,Medium
260,Single Number III,2773,154,18.006493506493506,Medium
377,Combination Sum IV,2772,316,8.772151898734178,Medium
430,Flatten a Multilevel Doubly Linked List,2763,209,13.220095693779903,Medium
456,132 Pattern,2748,154,17.844155844155843,Medium
687,Longest Univalue Path,2705,589,4.592529711375212,Medium
417,Pacific Atlantic Water Flow,2701,660,4.092424242424243,Medium
735,Asteroid Collision,2620,202,12.970297029702971,Medium
1130,Minimum Cost Tree From Leaf Values,2617,192,13.630208333333334,Medium
107,Binary Tree Level Order Traversal II,2613,261,10.011494252873563,Medium
1048,Longest String Chain,2605,128,20.3515625,Medium
784,Letter Case Permutation,2603,130,20.023076923076925,Medium
652,Find Duplicate Subtrees,2566,266,9.646616541353383,Medium
421,Maximum XOR of Two Numbers in an Array,2557,237,10.789029535864978,Medium
907,Sum of Subarray Minimums,2556,157,16.280254777070063,Medium
373,Find K Pairs with Smallest Sums,2488,151,16.47682119205298,Medium
151,Reverse Words in a String,2414,3613,0.6681428176030999,Medium
841,Keys and Rooms,2380,157,15.159235668789808,Medium
307,Range Sum Query - Mutable,2368,130,18.215384615384615,Medium
12,Integer to Roman,2352,3586,0.6558839933073062,Medium
474,Ones and Zeroes,2349,310,7.577419354838709,Medium
449,Serialize and Deserialize BST,2316,114,20.31578947368421,Medium
80,Remove Duplicates from Sorted Array II,2313,841,2.750297265160523,Medium
413,Arithmetic Slices,2307,212,10.882075471698114,Medium
752,Open the Lock,2300,79,29.11392405063291,Medium
1110,Delete Nodes And Return Forest,2292,67,34.208955223880594,Medium
216,Combination Sum III,2268,69,32.869565217391305,Medium
792,Number of Matching Subsequences,2267,127,17.8503937007874,Medium
368,Largest Divisible Subset,2250,104,21.634615384615383,Medium
29,Divide Two Integers,2248,8128,0.2765748031496063,Medium
918,Maximum Sum Circular Subarray,2244,95,23.621052631578948,Medium
1423,Maximum Points You Can Obtain from Cards,2230,94,23.72340425531915,Medium
583,Delete Operation for Two Strings,2228,39,57.12820512820513,Medium
452,Minimum Number of Arrows to Burst Balloons,2213,78,28.371794871794872,Medium
93,Restore IP Addresses,2204,609,3.619047619047619,Medium
974,Subarray Sums Divisible by K,2191,127,17.251968503937007,Medium
875,Koko Eating Bananas,2181,119,18.327731092436974,Medium
376,Wiggle Subsequence,2176,85,25.6,Medium
1029,Two City Scheduling,2155,215,10.023255813953488,Medium
59,Spiral Matrix II,2152,146,14.73972602739726,Medium
946,Validate Stack Sequences,2122,40,53.05,Medium
1209,Remove All Adjacent Duplicates in String II,2097,45,46.6,Medium
814,Binary Tree Pruning,2082,64,32.53125,Medium
701,Insert into a Binary Search Tree,2064,108,19.11111111111111,Medium
371,Sum of Two Integers,2024,3128,0.6470588235294118,Medium
894,All Possible Full Binary Trees,2010,158,12.721518987341772,Medium
201,Bitwise AND of Numbers Range,1977,169,11.698224852071005,Medium
340,Longest Substring with At Most K Distinct Characters,1938,64,30.28125,Medium
1302,Deepest Leaves Sum,1915,66,29.015151515151516,Medium
934,Shortest Bridge,1903,110,17.3,Medium
286,Walls and Gates,1887,27,69.88888888888889,Medium
1041,Robot Bounded In Circle,1874,480,3.904166666666667,Medium
261,Graph Valid Tree,1840,52,35.38461538461539,Medium
886,Possible Bipartition,1831,46,39.80434782608695,Medium
646,Maximum Length of Pair Chain,1830,95,19.263157894736842,Medium
285,Inorder Successor in BST,1799,73,24.643835616438356,Medium
324,Wiggle Sort II,1761,730,2.4123287671232876,Medium
1027,Longest Arithmetic Subsequence,1743,87,20.03448275862069,Medium
1049,Last Stone Weight II,1722,65,26.49230769230769,Medium
426,Convert Binary Search Tree to Sorted Doubly Linked List,1720,140,12.285714285714286,Medium
959,Regions Cut By Slashes,1719,347,4.953890489913545,Medium
1306,Jump Game III,1714,43,39.86046511627907,Medium
1091,Shortest Path in Binary Matrix,1700,92,18.47826086956522,Medium
513,Find Bottom Left Tree Value,1695,195,8.692307692307692,Medium
1438,Longest Continuous Subarray With Absolute Diff Less Than or Equal to Limit,1682,75,22.426666666666666,Medium
172,Factorial Trailing Zeroes,1662,1563,1.0633397312859885,Medium
877,Stone Game,1662,1794,0.9264214046822743,Medium
931,Minimum Falling Path Sum,1658,88,18.84090909090909,Medium
712,Minimum ASCII Delete Sum for Two Strings,1646,59,27.89830508474576,Medium
498,Diagonal Traverse,1646,453,3.6335540838852096,Medium
355,Design Twitter,1643,250,6.572,Medium
729,My Calendar I,1636,54,30.296296296296298,Medium
554,Brick Wall,1636,85,19.24705882352941,Medium
688,Knight Probability in Chessboard,1635,261,6.264367816091954,Medium
443,String Compression,1635,3758,0.43507184672698246,Medium
865,Smallest Subtree with all the Deepest Nodes,1629,310,5.254838709677419,Medium
981,Time Based Key-Value Store,1627,175,9.297142857142857,Medium
1094,Car Pooling,1621,46,35.23913043478261,Medium
323,Number of Connected Components in an Undirected Graph,1607,52,30.903846153846153,Medium
950,Reveal Cards In Increasing Order,1580,248,6.370967741935484,Medium
881,Boats to Save People,1568,51,30.745098039215687,Medium
791,Custom Sort String,1565,257,6.089494163424124,Medium
889,Construct Binary Tree from Preorder and Postorder Traversal,1562,73,21.397260273972602,Medium
1026,Maximum Difference Between Node and Ancestor,1525,46,33.15217391304348,Medium
187,Repeated DNA Sequences,1507,368,4.095108695652174,Medium
318,Maximum Product of Word Lengths,1499,92,16.293478260869566,Medium
694,Number of Distinct Islands,1493,86,17.36046511627907,Medium
1239,Maximum Length of a Concatenated String with Unique Characters,1488,141,10.553191489361701,Medium
159,Longest Substring with At Most Two Distinct Characters,1480,22,67.27272727272727,Medium
845,Longest Mountain in Array,1477,50,29.54,Medium
331,Verify Preorder Serialization of a Binary Tree,1477,76,19.43421052631579,Medium
176,Second Highest Salary,1468,647,2.2689335394126737,Medium
1007,Minimum Domino Rotations For Equal Row,1461,200,7.305,Medium
1319,Number of Operations to Make Network Connected,1453,23,63.17391304347826,Medium
532,K-diff Pairs in an Array,1451,1677,0.8652355396541443,Medium
838,Push Dominoes,1443,94,15.351063829787234,Medium
769,Max Chunks To Make Sorted,1443,160,9.01875,Medium
926,Flip String to Monotone Increasing,1434,44,32.59090909090909,Medium
1641,Count Sorted Vowel Strings,1425,32,44.53125,Medium
1035,Uncrossed Lines,1415,24,58.958333333333336,Medium
912,Sort an Array,1408,452,3.1150442477876106,Medium
325,Maximum Size Subarray Sum Equals k,1406,41,34.292682926829265,Medium
813,Largest Sum of Averages,1402,67,20.925373134328357,Medium
807,Max Increase to Keep City Skyline,1399,380,3.681578947368421,Medium
1031,Maximum Sum of Two Non-Overlapping Subarrays,1375,64,21.484375,Medium
795,Number of Subarrays with Bounded Maximum,1372,82,16.73170731707317,Medium
473,Matchsticks to Square,1361,111,12.26126126126126,Medium
622,Design Circular Queue,1335,154,8.668831168831169,Medium
636,Exclusive Time of Functions,1311,2060,0.6364077669902912,Medium
147,Insertion Sort List,1301,718,1.8119777158774373,Medium
576,Out of Boundary Paths,1293,177,7.305084745762712,Medium
1382,Balance a Binary Search Tree,1260,45,28.0,Medium
1305,All Elements in Two Binary Search Trees,1252,47,26.638297872340427,Medium
